,Business Name,Business Address,Business Phone Number
0,Curry Leaf,"943 Columbus Ave
San Francisco, CA 94133",(415) 440-4293
1,Falafel City,"425 Ellis St.
San Francisco, CA 94102",(415) 655-3285
2,Halal Fried Chicken,"601 Geary St.
San Francisco, CA 94102",(415) 829-3666
3,Kinara Fusion Kitchen,"710 Post St.
San Francisco, CA 94109",(415) 932-6518
4,Champa Kitchen,"5560 Monterey Rd.
San Jose, CA 95138",(408) 912-5419
5,Falafel Flame,"470 N Mathilda Ave.
Sunnyvale, CA 94085",(408) 685-2141
6,Falafel Flame,"375 Saratoga Ave, Suite D,
San Jose, CA 95129",(408) 490-4283
7,Halal Fried Chicken – HFC,"911 E Duane Ave.
Sunnyvale, CA 94085",(408) 542-9570
8,Karimi Restaurant,"1086 N 1st St.
San Jose, CA 95112",(408) 477-2914
9,Tayyibaat Meat and Grill,"10 S Abbott Ave.
Milpitas, CA 95035",(408) 586-9700
10,Afghan Awasana Kabob House,"37012 Towers Way.
Fremont, CA 94536",(510) 494-8043
11,Blaze BBQ,"41986 Fremont Blvd.
Fremont, CA 94538",(510) 270-8337
12,Casa Maria Taqueria,"3499 Breakwater Ave.
Hayward, CA 94545",(510) 786-9928
13,Falafel Corner,"7351 Brentwood Blvd.
Brentwood, CA 94513",(925) 684-4280
14,Falafel Corner,"43450 Grimmer Blvd
Fremont, CA 94538",(510) 252-1577
15,Falafel Corner,"4342 Thornton Ave.
Fremont, CA 94536",(510) 793-4976
16,Falafel Flame,"3244 N Tracy Blvd.
Tracy, CA 95376",(209) 666-2856
17,Falafel Flame,"22648 Mission Blvd.
Hayward, CA 94541",(510) 330-5000
18,Falafel Flame,"2118 Willow Pass Rd.
Concord, CA 94520",(925) 849-5353
19,Green N Grills,"31804 Alvarado Blvd.
Union City, CA 94587",(510) 431-3021
20,Hyderabad Biryani House,"2217 San Ramon Valley Blvd.
San Ramon, CA 94583",(925) 838-9090
21,Naan & Kabob Bazaar (Restaurant),"5035 Lone Tree Way
Antioch, CA 94531",(925) 470-3912
22,New York Pizza & Kabob,"32106 Alvarado Blvd.
Union City, CA 94587",(510) 477-8888
23,Pachas Afghan Kebab House,"1015 Clay St.
Oakland, CA 94607",(510) 817-4951
24,Peshawari Kababs,"33330 Alvarado-Niles Rd.
Union City, CA 94587",(510) 471-0357
25,The Port of Peri Peri,"4275 Rosewood Dr
Unit 20
Pleasonton, CA 94588",(925) 999-7374
26,The Port of Peri Peri,"3283 Walnut Ave.
Fremont, CA 94538",(510) 256-9901
27,Q’s Halal Pizza,"12847 San Pablo Ave.
Richmond, CA 94805",(510) 233-1920
28,The Sweet Art of Cake,"31101 Mission Blvd
Hayward, CA 94544",(510) 342-9502
29,Yeeshaans Grubb,"4050 Alder Ave.
Fremont, CA 94536",(510) 605-9510
30,Salama Halal Meat,"604 Geary St.
San Francisco, CA 94102",(415) 474-0359
31,786 Market,"5754 Mowry School Rd.
Newark, CA 94560",(510) 440-0900
32,Haafiz Food Mart,"34595 Alvarado-Niles Rd.
Union City, CA 94587",(510) 441-2800
33,Madni Halal Market,"12843 San Pablo Ave.
Richmond, CA 94805",(510) 234-9999
34,Madina Fresh Market,"41049 Fremont Blvd.
Fremont, CA 94538",(510) 445-0786
35,Medina Halal Market,"32760 Alvarado Blvd.
Fremont, CA 94555",(510) 441-1444
36,Naan & Kabob Bazaar,"5035 Lone Tree Way
Antioch, CA 94531",(925) 470-3912
37,Tayyibaat Meat and Grill,"10 S Abbott Ave.
Milpitas, CA 95035",(408) 586-9700
38,Tranquility Rehab Center,"10 S Abbott Ave.
Milpitas, CA 95035",(408) 586-9700
