,Forum_Cateogory,Forum_Name,Topic,PosetedBy,PostedDate,PostedDetail
0,ADMINISTRATION,Announcements,Change to Registration-Immediate effect,adamhanlon,"April 8, 2022","Dear Community,
I have decided that with immediate effect, all memberships will have to be admin approved.
Email addresses still need to be verified and a post made in the Introductions forum as is currently the case.

We have a small number of unscrupulous individuals trying to defraud community members in the Classifieds, and this is to try and control their access.

I plan for this to be a short term change...but will keep you all in the loop!

Thank you

Adam
   "
1,ADMINISTRATION,Announcements,Is wetpixel.com dead (or dying)?,KeithG,yesterday at 05:37 AM,"Hey mods: please weigh in...and slap me (or PM me) as required...
Just a question: With the recent uproar  awareness about Adam being AWOL for a long-ish time and some (many, most, but not all) posters finally becoming slightly more aware of the ambiguous situation of the site...
Have people stopped using wetpixel? Are metrics trailing off? Special editors no longer contributing? Fewer new threads? Fewer posts? No new articles? Or is it going gang-busters?
Mods: can you / are you allowed to post metrics on recent activity?
I am not looking for opinions. I have my own, it is very weak with no facts and could be wrong. I am asking for facts from some people that have access to the raw data.
Is wetpixel.com dying? Or maybe already dead and it does not know it yet?
If contributions are tailing off, then I claim that the value of wetpixel.com is capped as a historical entity. It could be usurped (I had to look that up and it is slightly the wrong word) by a new pretender. If it is moribund (I also had to look that up - too many special words in this post!) then someone illegally hijacking some of the content seems okay as their starting point (sue me!) 
 "
2,ADMINISTRATION,Announcements,Is wetpixel.com dead (or dying)?,TimG,yesterday at 05:46 AM,"Hey Keith
As a moderator we can only speak for the forum, which we moderate, and not the website or other elements of Wetpixel. 
We have no access to the metrics. Anecdotally, as far as I can see, there is little change to forum contributions which remain about the same volume and content: a mix of technical discussion and buying and selling. We all want the forum to continue In its role of a very high quality meeting place for the exchange of ideas, information and member to member business  
Many members have raised, concerns, as you will have seen. It remains the case that Adam is the owner and controls Wetpixel.
One of the things as a mod we try to do, is stop threads sprouting off in all sorts of directions; to try to maintain some sort of coherence. My suggestion would be that we have two threads for this. One a general discussion of What’s Happening; and another more detailed look at a possible way forward - for which there has been some initial discussion. "
3,ADMINISTRATION,Announcements,Is wetpixel.com dead (or dying)?,KeithG,yesterday at 06:03 AM,"  On 8/5/2023 at 10:46 PM, TimG said:
Hey Keith
As a moderator we can only speak for the forum, which we moderate, and not the website or other elements of Wetpixel. 
We have no access to the metrics. Anecdotally, as far as I can see, there is little change to forum contributions which remain about the same volume and content: a mix of technical discussion and buying and selling. We all want the forum to continue In its role of a very high quality meeting place for the exchange of ideas, information and member to member business  
Many members have raised, concerns, as you will have seen. It remains the case that Adam is the owner and controls Wetpixel.
One of the things as a mod we try to do, is stop threads sprouting off in all sorts of directions; to try to maintain some sort of coherence. My suggestion would be that we have two threads for this. One a general discussion of What’s Happening; and another more detailed look at a possible way forward - for which there has been some initial discussion. 
Thanks!"
4,ADMINISTRATION,Announcements,Is wetpixel.com dead (or dying)?,KeithG,yesterday at 06:12 AM,"Many more thanks Tim. You mentioned 2 threads. I have very poor web skills. Can you provide direct links to the 2 threads that you mentioned so that all the other peeps (and me) can find them quickly (without any ambiguity...)
Thanks again..."
5,ADMINISTRATION,Announcements,Is wetpixel.com dead (or dying)?,TimG,23 hours ago,"Hey Keith
Thinking it through I figure we need 3 threads: see here....
   "
6,ADMINISTRATION,Announcements,A useful product,Crayfish,July 15,"Hi guys Alex here (Crayfish) I'v been an underwater photographer and member for many years and I don't want to make this a commercial post just an announcement I have emailed Adam to try and get a front page write up. But I understand from a recent post that he might be under the weather so my thoughts and prays are with him.
Just wanting yours thoughts and hopefully your support, I v come up with a Mat for rolling out and using to work on camera gear at home or away comes in Camera brand colours and there is a range for underwater photographers .
I came up with the idea after doing a lot of shore diving and struggling to find somewhere clean to work on my housing where I'm not going to get contaminants on or in the camera or housing. Also good to use at home or in a hotel when setting up.
Anyway I v just launched my website have a look and tell me what you think won't add a link but site name is thecameramat.com
Admin please delete if not appropriate or breaking any rules.
Reagards Alex"
7,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,adamhanlon,"April 4, 2018","Dear Wetpixel community,
I am trying out a new policy for posts in the Classifieds forum.
It now requires a minimum of three posts (in any of the other forums) before members can post for sale ads or respond to posts in the forum.
There are two reasons for this:
1. Wetpixel is a vibrant community of individuals that willing and selflessly share their experiences and knowledge. The Classifieds section is there for members of our community to recycle their used gear.
We welcome new members to our community but we do not want to become simply a cheap way for people to sell used gear.
2. Practically, Wetpixel is a very safe way to buy and sell, with thousands of mutually beneficial transactions. However, like all online communities, there are those that seek to defraud people via fraudulent transactions.
Hopefully, requiring a number of posts prior to allowing interactions on the Classifieds forum will increase the security of transactions, and allow buyers/sellers to formulate better opinions about their prospective buyers/sellers.
I am relatively open minded about this new policy and will assess it and revise as appropriate. Please feel free to add any opinions to this thread too.
Adam"
8,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,SwiftFF5,"April 4, 2018","I like this policy, thanks. I am a member of another forum that requires 25 posts before gaining the ability to post classifieds ads, so this is still only mildly burdensome and should not pose any serious inconvenience to ""real"" members of Wetpixel."
9,ADMINISTRATION,Announcements,Changes to Classifieds Forum-please read!,okuma,"April 4, 2018",Three is too low; suggest at least ten valid and cogent postings!
